,season,rank_pub_date,team,rank,last_updated
0,2019,2018-11-01,Duke,4,2019-11-22 21:34:27.241391
1,2019,2018-11-12,Duke,1,2019-11-22 21:34:27.241391
2,2019,2018-11-19,Duke,1,2019-11-22 21:34:27.241391
3,2019,2018-11-26,Duke,3,2019-11-22 21:34:27.241391
4,2019,2018-12-03,Duke,3,2019-11-22 21:34:27.241391
5,2019,2018-12-10,Duke,2,2019-11-22 21:34:27.241391
6,2019,2018-12-17,Duke,2,2019-11-22 21:34:27.241391
7,2019,2018-12-24,Duke,1,2019-11-22 21:34:27.241391
8,2019,2018-12-31,Duke,1,2019-11-22 21:34:27.241391
9,2019,2019-01-07,Duke,1,2019-11-22 21:34:27.241391
10,2019,2019-01-14,Duke,1,2019-11-22 21:34:27.241391
11,2019,2019-01-21,Duke,2,2019-11-22 21:34:27.241391
12,2019,2019-01-28,Duke,2,2019-11-22 21:34:27.241391
13,2019,2019-02-04,Duke,2,2019-11-22 21:34:27.241391
14,2019,2019-02-11,Duke,2,2019-11-22 21:34:27.241391
15,2019,2019-02-18,Duke,1,2019-11-22 21:34:27.241391
16,2019,2019-02-25,Duke,3,2019-11-22 21:34:27.241391
17,2019,2019-03-04,Duke,4,2019-11-22 21:34:27.241391
18,2019,2019-03-11,Duke,5,2019-11-22 21:34:27.241391
19,2019,2019-05-01,Duke,1,2019-11-22 21:34:27.241391
20,2019,2018-11-01,Virginia,5,2019-11-22 21:34:27.241391
21,2019,2018-11-12,Virginia,4,2019-11-22 21:34:27.241391
22,2019,2018-11-19,Virginia,4,2019-11-22 21:34:27.241391
23,2019,2018-11-26,Virginia,4,2019-11-22 21:34:27.241391
24,2019,2018-12-03,Virginia,4,2019-11-22 21:34:27.241391
25,2019,2018-12-10,Virginia,6,2019-11-22 21:34:27.241391
26,2019,2018-12-17,Virginia,5,2019-11-22 21:34:27.241391
27,2019,2018-12-24,Virginia,4,2019-11-22 21:34:27.241391
28,2019,2018-12-31,Virginia,4,2019-11-22 21:34:27.241391
29,2019,2019-01-07,Virginia,4,2019-11-22 21:34:27.241391
30,2019,2019-01-14,Virginia,4,2019-11-22 21:34:27.241391
31,2019,2019-01-21,Virginia,3,2019-11-22 21:34:27.241391
32,2019,2019-01-28,Virginia,3,2019-11-22 21:34:27.241391
33,2019,2019-02-04,Virginia,3,2019-11-22 21:34:27.241391
34,2019,2019-02-11,Virginia,4,2019-11-22 21:34:27.241391
35,2019,2019-02-18,Virginia,3,2019-11-22 21:34:27.241391
36,2019,2019-02-25,Virginia,2,2019-11-22 21:34:27.241391
37,2019,2019-03-04,Virginia,2,2019-11-22 21:34:27.241391
38,2019,2019-03-11,Virginia,2,2019-11-22 21:34:27.241391
39,2019,2019-05-01,Virginia,2,2019-11-22 21:34:27.241391
40,2019,2018-11-01,UNC,8,2019-11-22 21:34:27.241391
41,2019,2018-11-12,UNC,7,2019-11-22 21:34:27.241391
42,2019,2018-11-19,UNC,7,2019-11-22 21:34:27.241391
43,2019,2018-11-26,UNC,11,2019-11-22 21:34:27.241391
44,2019,2018-12-03,UNC,14,2019-11-22 21:34:27.241391
45,2019,2018-12-10,UNC,12,2019-11-22 21:34:27.241391
46,2019,2018-12-17,UNC,9,2019-11-22 21:34:27.241391
47,2019,2018-12-24,UNC,14,2019-11-22 21:34:27.241391
48,2019,2018-12-31,UNC,15,2019-11-22 21:34:27.241391
49,2019,2019-01-07,UNC,12,2019-11-22 21:34:27.241391
50,2019,2019-01-14,UNC,13,2019-11-22 21:34:27.241391
51,2019,2019-01-21,UNC,11,2019-11-22 21:34:27.241391
52,2019,2019-01-28,UNC,9,2019-11-22 21:34:27.241391
53,2019,2019-02-04,UNC,8,2019-11-22 21:34:27.241391
54,2019,2019-02-11,UNC,8,2019-11-22 21:34:27.241391
55,2019,2019-02-18,UNC,8,2019-11-22 21:34:27.241391
56,2019,2019-02-25,UNC,5,2019-11-22 21:34:27.241391
57,2019,2019-03-04,UNC,3,2019-11-22 21:34:27.241391
58,2019,2019-03-11,UNC,3,2019-11-22 21:34:27.241391
59,2019,2019-05-01,UNC,3,2019-11-22 21:34:27.241391
60,2019,2018-11-01,Gonzaga,3,2019-11-22 21:34:27.241391
61,2019,2018-11-12,Gonzaga,3,2019-11-22 21:34:27.241391
62,2019,2018-11-19,Gonzaga,3,2019-11-22 21:34:27.241391
63,2019,2018-11-26,Gonzaga,1,2019-11-22 21:34:27.241391
64,2019,2018-12-03,Gonzaga,1,2019-11-22 21:34:27.241391
65,2019,2018-12-10,Gonzaga,4,2019-11-22 21:34:27.241391
66,2019,2018-12-17,Gonzaga,8,2019-11-22 21:34:27.241391
67,2019,2018-12-24,Gonzaga,7,2019-11-22 21:34:27.241391
68,2019,2018-12-31,Gonzaga,7,2019-11-22 21:34:27.241391
69,2019,2019-01-07,Gonzaga,5,2019-11-22 21:34:27.241391
70,2019,2019-01-14,Gonzaga,5,2019-11-22 21:34:27.241391
71,2019,2019-01-21,Gonzaga,4,2019-11-22 21:34:27.241391
72,2019,2019-01-28,Gonzaga,4,2019-11-22 21:34:27.241391
73,2019,2019-02-04,Gonzaga,4,2019-11-22 21:34:27.241391
74,2019,2019-02-11,Gonzaga,3,2019-11-22 21:34:27.241391
75,2019,2019-02-18,Gonzaga,2,2019-11-22 21:34:27.241391
76,2019,2019-02-25,Gonzaga,1,2019-11-22 21:34:27.241391
77,2019,2019-03-04,Gonzaga,1,2019-11-22 21:34:27.241391
78,2019,2019-03-11,Gonzaga,1,2019-11-22 21:34:27.241391
79,2019,2019-05-01,Gonzaga,4,2019-11-22 21:34:27.241391
80,2019,2018-11-01,Michigan State,10,2019-11-22 21:34:27.241391
81,2019,2018-11-12,Michigan State,11,2019-11-22 21:34:27.241391
82,2019,2018-11-19,Michigan State,11,2019-11-22 21:34:27.241391
83,2019,2018-11-26,Michigan State,9,2019-11-22 21:34:27.241391
84,2019,2018-12-03,Michigan State,10,2019-11-22 21:34:27.241391
