,team_game_num,date,time,season_type,venue_type,opponent,conference,team_result,team_pts,opponent_pts,was_ot,win_count,loss_count,streak,venue,season,team,last_updated
0,1,"Sat, Nov 10, 2018",2:00p,REG,Home,North Carolina A&T,MEAC,W,90,78,Regulation,1,0,W 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
1,2,"Thu, Nov 15, 2018",11:30a,REG,Neutral,Saint Joseph's,A-10,L,69,89,Regulation,1,1,L 1,The HTC Center,2019,wake-forest,2019-11-22 21:34:27.241391
2,3,"Fri, Nov 16, 2018",11:00a,REG,Neutral,Cal State Fullerton,Big West,W,66,59,Regulation,2,1,W 1,The HTC Center,2019,wake-forest,2019-11-22 21:34:27.241391
3,4,"Sun, Nov 18, 2018",10:30a,REG,Neutral,Valparaiso,MVC,W,69,63,Regulation,3,1,W 2,The HTC Center,2019,wake-forest,2019-11-22 21:34:27.241391
4,5,"Fri, Nov 23, 2018",2:00p,REG,Home,Houston Baptist,Southland,L,91,93,OT,3,2,L 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
5,6,"Tue, Nov 27, 2018",7:00p,REG,Home,Western Carolina,Southern,W,71,64,Regulation,4,2,W 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
6,7,"Sat, Dec 1, 2018",7:30p,REG,Away,Richmond,A-10,L,74,84,Regulation,4,3,L 1,Robins Center,2019,wake-forest,2019-11-22 21:34:27.241391
7,8,"Thu, Dec 6, 2018",7:00p,REG,Home,Charlotte,CUSA,W,80,56,Regulation,5,3,W 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
8,9,"Mon, Dec 17, 2018",7:00p,REG,Home,Davidson,A-10,W,67,63,Regulation,6,3,W 2,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
9,10,"Sat, Dec 22, 2018",12:00p,REG,Away,Tennessee (3),SEC,L,64,83,Regulation,6,4,L 1,Thompson-Boling Arena,2019,wake-forest,2019-11-22 21:34:27.241391
10,11,"Sat, Dec 29, 2018",2:00p,REG,Home,Gardner-Webb,Big South,L,69,73,Regulation,6,5,L 2,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
11,12,"Wed, Jan 2, 2019",7:00p,REG,Home,Cornell,Ivy,W,83,61,Regulation,7,5,W 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
12,13,"Sat, Jan 5, 2019",2:00p,REG,Away,Georgia Tech,ACC,L,79,92,Regulation,7,6,L 1,McCamish Pavilion,2019,wake-forest,2019-11-22 21:34:27.241391
13,14,"Tue, Jan 8, 2019",7:00p,REG,Home,Duke (1),ACC,L,65,87,Regulation,7,7,L 2,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
14,15,"Sat, Jan 12, 2019",2:00p,REG,Away,Miami (FL),ACC,L,65,76,Regulation,7,8,L 3,BankUnited Center,2019,wake-forest,2019-11-22 21:34:27.241391
15,16,"Tue, Jan 15, 2019",8:00p,REG,Home,North Carolina State (17),ACC,W,71,67,Regulation,8,8,W 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
16,17,"Sat, Jan 19, 2019",4:00p,REG,Away,Virginia Tech (9),ACC,L,71,87,Regulation,8,9,L 1,Cassell Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
17,18,"Tue, Jan 22, 2019",9:00p,REG,Away,Virginia (3),ACC,L,45,68,Regulation,8,10,L 2,John Paul Jones Arena,2019,wake-forest,2019-11-22 21:34:27.241391
18,19,"Sat, Jan 26, 2019",4:00p,REG,Home,Boston College,ACC,L,61,65,Regulation,8,11,L 3,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
19,20,"Wed, Jan 30, 2019",8:00p,REG,Home,Louisville (15),ACC,L,54,82,Regulation,8,12,L 4,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
20,21,"Sun, Feb 3, 2019",12:00p,REG,Away,Clemson,ACC,L,37,64,Regulation,8,13,L 5,Littlejohn Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
21,22,"Tue, Feb 5, 2019",7:00p,REG,Home,Pittsburgh,ACC,W,78,76,OT,9,13,W 1,Lawrence Joel Coliseum,2019,wake-forest,2019-11-22 21:34:27.241391
