,team_id,team_and_mascot,team_abb,team_city_state,team_first_yr,team_last_yr,team_years,game_count,win_count,loss_count,win_pct,srs_rating,str_of_sched,final_ap_polls_ranked,conf_reg,conf_tourn,ncaa_appearances,final_four_appearances,ncaa_champ_won
0,1,Abilene Christian Wildcats,abilene-christian,"Abilene, Texas",1971,2020,10,268,130,138,.485,-11.69,-6.52,0,0,1,1,0,0
1,2,Air Force Falcons,air-force,"USAF Academy, Colorado",1958,2020,62,1676,731,945,.436,-2.66,1.31,0,1,0,4,0,0
2,3,Akron Zips,akron,"Akron, Ohio",1902,2020,69,1567,922,645,.588,-0.31,-1.67,0,8,4,4,0,0
3,4,Alabama A&M Bulldogs,alabama-am,"Normal, Alabama",2000,2020,21,585,224,361,.383,-17.35,-10.75,0,1,1,1,0,0
4,5,Alabama Crimson Tide,alabama,"Tuscaloosa, Alabama",1913,2020,107,2729,1679,1049,.615,7.15,4.46,15,10,7,21,0,0
5,6,Alabama State Hornets,alabama-state,"Montgomery, Alabama",1983,2020,38,1100,532,568,.484,-12.83,-9.47,0,4,4,4,0,0
6,7,Alabama-Birmingham Blazers,alabama-birmingham,"Birmingham, Alabama",1980,2020,41,1292,804,488,.622,6.26,2.41,2,7,5,15,0,0
7,8,Albany (NY) Great Danes,albany-ny,"Albany, New York",2000,2020,21,630,314,316,.498,-6.81,-6.53,0,2,5,5,0,0
8,9,Alcorn State Braves,alcorn-state,"Alcorn State, Mississippi",1978,2020,43,1251,539,712,.431,-13.51,-8.42,0,10,6,6,0,0
9,10,Allegheny Gators,allegheny,"Meadville, Pennsylvania",1896,1916,21,234,191,41,.823,,,0,0,0,,,
10,11,American Eagles,american,"Washington, D.C.",1967,2020,54,1507,740,767,.491,-5.70,-3.79,0,7,3,3,0,0
11,12,Amherst Lord Jeffs,amherst,"Amherst, Massachusetts",1901,1902,2,12,12,0,1.000,,,0,0,0,,,
12,13,Appalachian State Mountaineers,appalachian-state,"Boone, North Carolina",1974,2020,47,1359,661,698,.486,-5.70,-3.15,0,10,2,2,0,0
13,14,Arizona State Sun Devils,arizona-state,"Tempe, Arizona",1912,2020,105,2542,1350,1192,.531,5.11,3.80,7,8,0,16,0,0
14,15,Arizona Wildcats,arizona,"Tucson, Arizona",1905,2020,113,2727,1792,934,.657,9.03,4.88,27,24,7,35,4,1
15,16,Arkansas Razorbacks,arkansas,"Fayetteville, Arkansas",1924,2020,97,2647,1692,955,.639,7.83,3.06,16,26,7,32,6,1
16,17,Arkansas State Red Wolves,arkansas-state,"State University, Arkansas",1971,2020,50,1426,732,694,.513,-3.60,-3.07,0,7,1,1,0,0
17,18,Arkansas-Pine Bluff Golden Lions,arkansas-pine-bluff,"Pine Bluff, Arkansas",1999,2020,22,642,195,447,.304,-19.55,-8.06,0,0,1,1,0,0
18,19,Armstrong Pirates,armstrong,"Savannah, Georgia",1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
19,20,Army Black Knights,army,"West Point, New York",1903,2020,118,2490,1237,1253,.497,-9.26,-4.56,0,0,0,0,0,0
20,21,Auburn Tigers,auburn,"Auburn, Alabama",1906,2020,114,2573,1369,1203,.532,5.54,4.00,7,4,2,10,1,0
21,22,Augusta State Jaguars,augusta-state,"Augusta, Georgia",1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0
22,23,Augustana (IL) Vikings,augustana-il,"Rock Island, Illinois",1902,1917,12,116,81,35,.698,,,0,0,0,,,
23,24,Austin Peay Governors,austin-peay,"Clarksville, Tennessee",1964,2020,57,1611,804,807,.499,-5.74,-3.33,1,8,5,7,0,0
24,25,Baker University Wildcats,baker-university,"Baldwin City, Kansas",1903,1908,6,90,62,28,.689,,,0,0,0,,,
25,26,Baldwin-Wallace Yellow Jackets,baldwin-wallace,"Berea, Ohio",1948,1953,6,139,82,57,.590,-4.45,1.84,0,0,0,0,0,0
26,27,Ball State Cardinals,ball-state,"Muncie, Indiana",1972,2020,49,1417,753,664,.531,-0.70,-0.59,1,10,7,7,0,0
27,28,Baltimore Super Bees,baltimore,"Baltimore, Maryland",1979,1983,5,133,46,87,.346,-13.76,-6.45,0,0,0,0,0,0
28,29,Baylor Bears,baylor,"Waco, Texas",1907,2020,114,2728,1354,1374,.496,1.62,2.47,6,5,0,12,2,0
29,30,Belmont Bruins,belmont,"Nashville, Tennessee",2000,2020,21,640,419,221,.655,1.71,-3.27,0,11,7,8,0,0
30,31,Beloit Buccaneers,beloit,"Beloit, Wisconsin",1911,1924,8,95,66,28,.702,,,0,0,0,,,
31,32,Bethune-Cookman Wildcats,bethune-cookman,"Daytona Beach, Florida",1981,2020,40,1159,419,740,.362,-16.97,-9.52,0,2,0,0,0,0
32,33,Binghamton Bearcats,binghamton,"Binghamton, New York",2002,2020,19,550,197,353,.358,-11.44,-5.45,0,1,1,1,0,0
33,34,Birmingham-Southern Panthers,birmingham-southern,"Birmingham, Alabama",1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
34,35,Bloomsburg Huskies,bloomsburg,"Bloomsburg, Pennsylvania",1896,1911,15,143,88,55,.615,,,0,0,0,,,
35,36,Boise State Broncos,boise-state,"Boise, Idaho",1972,2020,49,1417,785,632,.554,0.15,-0.36,0,6,5,7,0,0
36,37,Boston College Eagles,boston-college,"Chestnut Hill, Massachusetts",1946,2020,75,2087,1147,940,.550,3.17,3.01,8,6,2,18,0,0
